Exercice;Libellé Etablissement;SG1;Libellé destination de rang 1;Code destination rang 2;Libellé destination de rang 2;Code destination rang 3;Libellé destination de rang 3;Libellé enveloppe;AE ouvertes;CP ouverts;EJ validés;Décaissements CP
2021;ARS Auvergne RhAlpes;DG;Autres dépenses pers;BP3-1-COMI;Contribution du CA;;;Personnel;479233.0;479233.0;514164.01;514164.01
2021;ARS Auvergne RhAlpes;DG;Autres dépenses pers;BP3-2-OBLI;Contrib obligatoires;;;Personnel;677895.0;677895.0;561394.96;561394.96
2021;ARS Auvergne RhAlpes;DG;Autres dépenses pers;BP3-3-FORM;Formation personnel;;;Fonctionnement;358547.2;405820.2;357474.54;402194.78
2021;ARS Auvergne RhAlpes;DG;Autres dépenses pers;BP3-3-FORM;Formation personnel;;;Personnel;96500.0;96500.0;81879.0;81879.0
2021;ARS Auvergne RhAlpes;DG;Autres dépenses pers;BP3-4-DEPL;Frais de déplacement;;;Fonctionnement;140349.0;127638.0;133440.07;125061.83
2021;ARS Auvergne RhAlpes;DG;Autres dépenses pers;BP3-4-DEPL;Frais de déplacement;;;Personnel;4076.0;4076.0;3863.25;3863.25
2021;ARS Auvergne RhAlpes;DG;Autres dépenses pers;BP3-5-AUTR;Autr dépenses MS aut;;;Fonctionnement;41498.08;39966.0;45388.66;45488.67
2021;ARS Auvergne RhAlpes;DG;Autres dépenses pers;BP3-5-AUTR;Autr dépenses MS aut;;;Personnel;191197.0;191197.0;236004.78;236004.78
2021;ARS Auvergne RhAlpes;DG;Dépense perso h pl;BP2-1-GRAT;Gratif stagiaires;;;Fonctionnement;26205.31;26655.31;26201.87;25164.47
2021;ARS Auvergne RhAlpes;DG;Dépense perso h pl;BP2-21-IS;Injonctions de soins;;;Personnel;600000.0;600000.0;599462.65;599462.65
2021;ARS Auvergne RhAlpes;DG;Dépense perso h pl;BP2-22-VAC;Vacations;;;Fonctionnement;478.0;477.17;477.17;477.17
2021;ARS Auvergne RhAlpes;DG;Dépense perso h pl;BP2-22-VAC;Vacations;;;Personnel;60200.0;60200.0;49953.37;49953.37
2021;ARS Auvergne RhAlpes;DG;Dépense perso h pl;BP2-2-INJO;Injonctions thérapeu;;;Personnel;2000.0;2000.0;84.59;84.59
2021;ARS Auvergne RhAlpes;DG;Dépense perso h pl;BP2-3-APPR;Apprentis;;;Personnel;224510.0;224510.0;203492.82;203492.82
2021;ARS Auvergne RhAlpes;DG;Dépense perso h pl;BP2-5-MAD;Personnel mis à disp;;;Fonctionnement;280908.03;218827.6;280919.6;220302.05
2021;ARS Auvergne RhAlpes;DG;Dépense perso h pl;BP2-6-AUTR;Autr dépenses MS hpl;;;Fonctionnement;48031.43;38050.0;47727.2;38065.75
2021;ARS Auvergne RhAlpes;DG;Frais de structure;BP4-1-CONS;Conseil assistance;;;Fonctionnement;30564.12;30564.12;55914.94;73914.94
2021;ARS Auvergne RhAlpes;DG;Frais de structure;BP4-2-FONC;Fonctionnem courant;;;Fonctionnement;879055.17;537478.91;821838.56;504637.78
2021;ARS Auvergne RhAlpes;DG;Frais de structure;BP4-2-FONC;Fonctionnem courant;;;Investissement;21577.19;22820.0;15248.68;15248.68
