DREETS_124_2021;ORGANISATION_LOGISTIQUE_DES_JURYS_HORS_VAE_ET_VAE_-_AE;ORGANISATION_LOGISTIQUE_DES_JURYS_HORS_VAE_ET_VAE_-_CP
Auvergne Rhône-Alpes;280731;250787
Bourgogne Franche-Comté;34648;38794
Bretagne ;43294;38163
Centre Val de Loire;25201;24496
Corse ;4136;4021
Grand Est;115069;111850
Hauts de France;126226;143800
Ile-de-France;178676;219653
Normandie;16730;18724
Nouvelle Aquitaine;109701;93962
Occitanie;71692;69687
Pays-de-la-Loire ;51254;49820
Provence-Alpes-Côte d'Azur ;163556;161856
Total métropole;1220914;1225613
Guadeloupe;1000;1000
Martinique;3500;3500
Guyane;2500;2500
Réunion;10885;11985
Total Outre mer;17885;18985
TOTAL;1238799;1244598
